@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
1,'2022/09/20 13:08:27:868',1,0.647059,0.721569,0.694118,0.8,0.627451,0.690196,0.705882,0.694118,0.619608,0.6,0.647059,0.721569,0.678431,0.780392,0.596078,0.85098,0.709804,0.741176,0.74902,0.721569,0.607843,0.52549,0.666667,0.843137,0.623529,0.815686,0.737255,0.780392,0.788235,0.772549,0.615686,0.654902,0.72549,0.87451,0.639216,0.447059,0.603922,0.603922,0.831373,0.807843,0.482353,0.635294,0.345098,0.878431,0.603922,0.768627,0.380392,0.854902,0.866667,0.843137,0.54902,0.596078,0.482353,0.803922,0.705882,0.407843,0.729412,0.831373,0.337255,0.862745,0.545098,0.588235,0.596078,0.780392,0.682353,0.415686,0.560784,0.878431,0.705882,0.254902,0.533333,0.588235,0.686275,0.917647,0.729412,0.486275,0.85098,0.894118,0.407843,0.384314,0.537255,0.6,0.980392,0.980392,0.368627,0.45098,0.247059,0.890196,0.329412,0.584314,0.552941,0.592157,0.980392,0.4,0.368627,0.764706,0.329412,0.439216,0.215686,0.203922,?
2,'2022/09/20 13:08:28:067',1,0.658824,0.741176,0.705882,0.796078,0.631373,0.690196,0.701961,0.698039,0.615686,0.6,0.654902,0.721569,0.682353,0.764706,0.611765,0.85098,0.717647,0.745098,0.737255,0.709804,0.6,0.533333,0.686275,0.839216,0.619608,0.803922,0.745098,0.784314,0.788235,0.776471,0.603922,0.658824,0.745098,0.862745,0.627451,0.454902,0.607843,0.6,0.831373,0.803922,0.478431,0.627451,0.34902,0.882353,0.588235,0.772549,0.396078,0.858824,0.854902,0.835294,0.545098,0.607843,0.47451,0.792157,0.701961,0.411765,0.74902,0.843137,0.34902,0.866667,0.529412,0.580392,0.596078,0.792157,0.686275,0.431373,0.545098,0.878431,0.717647,0.278431,0.537255,0.592157,0.666667,0.913725,0.721569,0.501961,0.839216,0.890196,0.411765,0.392157,0.541176,0.592157,0.980392,0.980392,0.356863,0.458824,0.262745,0.890196,0.345098,0.643137,0.552941,0.580392,0.980392,0.415686,0.368627,0.74902,0.329412,0.45098,0.2,0.219608,?
3,'2022/09/20 13:08:28:266',1,0.658824,0.745098,0.698039,0.776471,0.627451,0.686275,0.698039,0.686275,0.619608,0.603922,0.647059,0.713726,0.67451,0.780392,0.607843,0.839216,0.721569,0.741176,0.72549,0.713726,0.596078,0.545098,0.670588,0.839216,0.607843,0.811765,0.745098,0.784314,0.784314,0.768627,0.6,0.670588,0.733333,0.862745,0.647059,0.443137,0.619608,0.596078,0.831373,0.807843,0.478431,0.623529,0.356863,0.878431,0.6,0.768627,0.415686,0.854902,0.854902,0.843137,0.541176,0.611765,0.478431,0.807843,0.701961,0.423529,0.72549,0.854902,0.337255,0.866667,0.537255,0.592157,0.592157,0.796078,0.682353,0.439216,0.556863,0.882353,0.717647,0.266667,0.533333,0.588235,0.694118,0.909804,0.721569,0.529412,0.835294,0.894118,0.411765,0.388235,0.533333,0.596078,0.980392,0.980392,0.392157,0.458824,0.262745,0.890196,0.345098,0.65098,0.545098,0.596078,0.980392,0.403922,0.384314,0.741176,0.337255,0.443137,0.215686,0.207843,?
4,'2022/09/20 13:08:28:476',1,0.662745,0.733333,0.698039,0.792157,0.635294,0.682353,0.709804,0.678431,0.615686,0.607843,0.658824,0.733333,0.678431,0.780392,0.607843,0.85098,0.72549,0.741176,0.737255,0.721569,0.6,0.545098,0.67451,0.839216,0.615686,0.807843,0.745098,0.780392,0.784314,0.776471,0.615686,0.654902,0.72549,0.862745,0.631373,0.454902,0.603922,0.588235,0.819608,0.815686,0.470588,0.623529,0.32549,0.878431,0.592157,0.768627,0.403922,0.854902,0.854902,0.831373,0.541176,0.611765,0.482353,0.803922,0.698039,0.415686,0.709804,0.847059,0.341176,0.862745,0.533333,0.588235,0.580392,0.792157,0.67451,0.435294,0.552941,0.878431,0.733333,0.258824,0.533333,0.596078,0.678431,0.917647,0.721569,0.52549,0.839216,0.894118,0.419608,0.376471,0.529412,0.592157,0.976471,0.980392,0.372549,0.443137,0.243137,0.886275,0.337255,0.639216,0.537255,0.592157,0.980392,0.419608,0.384314,0.752941,0.337255,0.439216,0.196078,0.196078,?
5,'2022/09/20 13:08:31:265',2,0.662745,0.741176,0.709804,0.788235,0.623529,0.666667,0.686275,0.67451,0.619608,0.619608,0.666667,0.729412,0.698039,0.772549,0.592157,0.862745,0.694118,0.72549,0.721569,0.709804,0.607843,0.545098,0.666667,0.835294,0.572549,0.807843,0.682353,0.733333,0.764706,0.741176,0.615686,0.666667,0.72549,0.854902,0.541176,0.686275,0.521569,0.294118,0.772549,0.756863,0.47451,0.623529,0.356863,0.862745,0.45098,0.666667,0.666667,0.756863,0.819608,0.796078,0.533333,0.584314,0.466667,0.784314,0.576471,0.654902,0.678431,0.647059,0.568627,0.823529,0.509804,0.556863,0.568627,0.764706,0.533333,0.639216,0.694118,0.466667,0.368627,0.270588,0.498039,0.54902,0.67451,0.886275,0.658824,0.784314,0.741176,0.282353,0.333333,0.419608,0.494118,0.541176,0.988235,0.980392,0.976471,0.666667,0.407843,0.556863,0.54902,0.737255,0.462745,0.529412,0.980392,0.980392,0.976471,0.431373,0.423529,0.356863,0.329412,0.407843,?
6,'2022/09/20 13:08:31:465',2,0.666667,0.745098,0.709804,0.780392,0.627451,0.654902,0.670588,0.67451,0.631373,0.623529,0.662745,0.733333,0.694118,0.780392,0.592157,0.85098,0.690196,0.733333,0.72549,0.717647,0.607843,0.517647,0.678431,0.835294,0.556863,0.792157,0.678431,0.72549,0.752941,0.752941,0.603922,0.662745,0.741176,0.858824,0.541176,0.721569,0.521569,0.301961,0.490196,0.776471,0.462745,0.615686,0.337255,0.862745,0.45098,0.694118,0.682353,0.792157,0.831373,0.8,0.529412,0.588235,0.470588,0.760784,0.592157,0.662745,0.682353,0.572549,0.564706,0.823529,0.509804,0.564706,0.560784,0.772549,0.545098,0.65098,0.705882,0.341176,0.388235,0.270588,0.498039,0.560784,0.643137,0.901961,0.662745,0.780392,0.745098,0.262745,0.258824,0.4,0.482353,0.545098,0.980392,0.980392,0.968627,0.509804,0.364706,0.54902,0.596078,0.631373,0.470588,0.529412,0.980392,0.980392,0.972549,0.431373,0.427451,0.878431,0.301961,0.356863,?
7,'2022/09/20 13:08:31:666',2,0.658824,0.729412,0.713726,0.780392,0.619608,0.658824,0.682353,0.658824,0.611765,0.631373,0.658824,0.737255,0.701961,0.784314,0.572549,0.862745,0.690196,0.721569,0.721569,0.717647,0.607843,0.545098,0.67451,0.843137,0.564706,0.788235,0.682353,0.729412,0.74902,0.764706,0.6,0.666667,0.721569,0.858824,0.556863,0.701961,0.541176,0.282353,0.466667,0.776471,0.478431,0.627451,0.341176,0.866667,0.454902,0.686275,0.682353,0.811765,0.843137,0.819608,0.533333,0.592157,0.470588,0.788235,0.584314,0.662745,0.698039,0.592157,0.572549,0.835294,0.505882,0.568627,0.560784,0.772549,0.552941,0.658824,0.713726,0.337255,0.384314,0.317647,0.498039,0.556863,0.647059,0.898039,0.666667,0.776471,0.752941,0.290196,0.25098,0.396078,0.490196,0.541176,0.988235,0.980392,0.964706,0.584314,0.352941,0.513726,0.647059,0.670588,0.470588,0.52549,0.980392,0.980392,0.972549,0.435294,0.415686,0.909804,0.321569,0.415686,?
8,'2022/09/20 13:08:31:864',2,0.654902,0.752941,0.709804,0.803922,0.623529,0.658824,0.682353,0.670588,0.619608,0.623529,0.658824,0.729412,0.701961,0.780392,0.592157,0.854902,0.694118,0.72549,0.721569,0.713726,0.615686,0.556863,0.666667,0.835294,0.576471,0.788235,0.682353,0.72549,0.752941,0.752941,0.603922,0.658824,0.737255,0.862745,0.54902,0.698039,0.52549,0.278431,0.517647,0.788235,0.47451,0.639216,0.34902,0.862745,0.458824,0.686275,0.686275,0.780392,0.815686,0.811765,0.529412,0.596078,0.470588,0.784314,0.588235,0.67451,0.698039,0.635294,0.568627,0.835294,0.509804,0.556863,0.576471,0.756863,0.529412,0.662745,0.721569,0.411765,0.364706,0.294118,0.498039,0.556863,0.658824,0.890196,0.666667,0.792157,0.756863,0.266667,0.282353,0.403922,0.486275,0.541176,0.988235,0.980392,0.968627,0.564706,0.34902,0.521569,0.615686,0.686275,0.478431,0.541176,0.980392,0.980392,0.976471,0.435294,0.435294,0.901961,0.32549,0.4,?
9,'2022/09/20 13:08:32:064',2,0.670588,0.752941,0.713726,0.780392,0.627451,0.658824,0.670588,0.658824,0.611765,0.607843,0.658824,0.737255,0.705882,0.784314,0.6,0.843137,0.686275,0.721569,0.713726,0.713726,0.6,0.545098,0.670588,0.835294,0.568627,0.796078,0.686275,0.741176,0.741176,0.752941,0.603922,0.666667,0.72549,0.870588,0.537255,0.701961,0.529412,0.278431,0.572549,0.780392,0.47451,0.623529,0.337255,0.862745,0.466667,0.694118,0.698039,0.760784,0.74902,0.807843,0.533333,0.596078,0.466667,0.788235,0.584314,0.67451,0.701961,0.784314,0.815686,0.831373,0.517647,0.564706,0.572549,0.764706,0.552941,0.67451,0.717647,0.462745,0.270588,0.25098,0.509804,0.552941,0.666667,0.890196,0.666667,0.776471,0.760784,0.313726,0.345098,0.415686,0.490196,0.552941,0.988235,0.980392,0.968627,0.545098,0.352941,0.576471,0.623529,0.67451,0.47451,0.537255,0.980392,0.980392,0.980392,0.443137,0.403922,0.905882,0.329412,0.396078,?
10,'2022/09/20 13:08:35:264',3,0.686275,0.752941,0.733333,0.788235,0.654902,0.705882,0.701961,0.670588,0.631373,0.619608,0.682353,0.745098,0.705882,0.764706,0.623529,0.839216,0.705882,0.741176,0.741176,0.701961,0.631373,0.576471,0.721569,0.823529,0.65098,0.819608,0.701961,0.756863,0.780392,0.772549,0.666667,0.721569,0.807843,0.301961,0.690196,0.776471,0.513726,0.509804,0.803922,0.811765,0.556863,0.701961,0.466667,0.815686,0.407843,0.74902,0.705882,0.784314,0.831373,0.835294,0.654902,0.709804,0.235294,0.286275,0.737255,0.72549,0.713726,0.760784,0.333333,0.854902,0.662745,0.709804,0.521569,0.556863,0.376471,0.713726,0.717647,0.8,0.678431,0.282353,0.678431,0.729412,0.505882,0.278431,0.345098,0.819608,0.752941,0.815686,0.4,0.372549,0.709804,0.741176,0.956863,0.486275,0.596078,0.490196,0.862745,0.839216,0.305882,0.627451,0.721569,0.380392,0.34902,0.431373,0.317647,0.411765,0.392157,0.858824,0.215686,0.156863,?
